edad,Rel general mujer qx base 2019 en tanto por mil,Rel general hombre qx base 2019 en tanto por mil,NoRel general mujer qx base 2019 en tanto por mil,NoRel general hombre qx base 2019 en tanto por mil,decesos mujer qx base 2019 en tanto por mil,decesos hombre qx base 2019 en tanto por mil
0,1.7536571040128500,2.0037807373299700,1.8382066524196000,2.1003895647111600,2.8058513664205600,3.2060491797279500
1,0.1250813238283070,0.1442363265376330,0.1311119038200290,0.1511904319010470,0.2001301181252910,0.2307781224602120
2,0.1029782413361660,0.1204269807694440,0.1079431593813010,0.1262331596494230,0.1647651861378650,0.1926831692311100
3,0.0831544090826702,0.0990330758763199,0.0871635552948239,0.1038077845827790,0.1330470545322720,0.1584529214021120
4,0.0669586106032957,0.0814348637867939,0.0701869043646571,0.0853611050924533,0.1071337769652730,0.1302957820588700
5,0.0555075027623788,0.0690125964294939,0.0581837011371957,0.0723399195698836,0.0888120044198061,0.1104201542871900
6,0.0482022898429294,0.0612056856188243,0.0505262799941767,0.0641566120383365,0.0771236637486870,0.0979290969901189
7,0.0443034295052266,0.0573224751191190,0.0464394428392847,0.0600861792513511,0.0708854872083626,0.0917159601905904
8,0.0421589755099882,0.0554728923966328,0.0441915976985015,0.0581474220924433,0.0674543608159811,0.0887566278346125
9,0.0415639812757798,0.0556465133433431,0.0435679168449468,0.0583294138732264,0.0665023700412478,0.0890344213493490
10,0.0432606189371147,0.0592174252051879,0.0453463549607419,0.0620724910829196,0.0692169902993836,0.0947478803283007
11,0.0473024044738029,0.0668493039559444,0.0495830082062324,0.0700723276860949,0.0756838471580846,0.1069588863295110
12,0.0547176628027505,0.0809355008602320,0.0573557804081015,0.0848376662448717,0.0875482604844008,0.1294968013763710
13,0.0649891140606446,0.1021202670760090,0.0681224519478566,0.1070438193740590,0.1039825824970310,0.1633924273216150
14,0.0775366226713960,0.1310896641417850,0.0812749170146000,0.1374099258842990,0.1240585962742340,0.2097434626268560
