PERF2020_Col_2ndo,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
26,0.002180013,0.002111165,0.002044491,0.001979923,0.001917393,0.001856839,0.001798197,0.001741407,0.001686411,0.001633151,0.001581573,0.001531625,0.001483254,0.00143641,0.001391046,0.001347114,0.00130457,0.00126337,0.001223471,0.001184831,0.001147413,0.001111175,0.001076083,0.001042098,0.001009187,0.000977315,0.00094645,0.00091656,0.000887613,0.000859581,0.000832434,0.000806144,0.000780685,0.00075603,0.000732153,0.000709031,0.000686638,0.000664953,0.000643953,0.000623616,0.000603921,0.000584848,0.000566378,0.000548491,0.000531168,0.000514393,0.000498148,0.000482415,0.00046718,0.000452426,0.000438137,0.0004243,0.0004109,0.000397923,0.000385356,0.000373186,0.0003614,0.000349987,0.000338933,0.000328229,0.000317863,0.000307825,0.000298103,0.000288689,0.000279571,0.000270742,0.000262192,0.000253911,0.000245892,0.000238126,0.000230606,0.000223323,0.00021627,0.00020944,0.000202826,0.00019642,0.000190217,0.000184209,0.000178392,0.000172758,0.000167302,0.000162018,0.000156901,0.000151946,0.000147148,0.0001425,0.000138,0.000133642,0.000129421,0.000125334,0.000121376,0.000117542,0.00011383,0.000110235,0.000106754,0.000103382,0.000100117,9.69555E-05,9.38935E-05,9.09282E-05,8.80565E-05,8.52755E-05,8.25824E-05,7.99743E-05,7.74486E-05,7.50026E-05,7.26339E-05,7.034E-05,6.81186E-05,6.59673E-05,6.38839E-05,6.18664E-05,5.99125E-05,5.80204E-05,5.6188E-05,5.44135E-05,5.2695E-05,5.10308E-05,4.94192E-05,4.78585E-05,4.6347E-05,4.48833E-05,4.34658E-05,4.20931E-05,4.07637E-05,3.94763E-05,3.82296E-05,3.70223E-05,3.5853E-05,3.47207E-05,3.36242E-05,3.25623E-05,3.15339E-05,3.0538E-05,2.95736E-05,2.86396E-05,2.77351E-05,2.68592E-05,2.6011E-05,2.51895E-05,2.4394E-05,2.36236E-05,2.28775E-05,2.2155E-05,2.14553E-05,2.07777E-05,2.01215E-05,1.9486E-05,1.88706E-05,1.82747E-05
27,0.002213993,0.00214412,0.002076452,0.00201092,0.001947456,0.001885995,0.001826473,0.00176883,0.001713006,0.001658944,0.001606589,0.001555885,0.001506782,0.001459228,0.001413175,0.001368576,0.001325384,0.001283555,0.001243047,0.001203817,0.001165824,0.001129031,0.001093399,0.001058892,0.001025474,0.00099311,0.000961768,0.000931415,0.000902019,0.000873552,0.000845983,0.000819284,0.000793428,0.000768387,0.000744137,0.000720652,0.000697909,0.000675883,0.000654552,0.000633895,0.000613889,0.000594515,0.000575752,0.000557582,0.000539985,0.000522943,0.000506439,0.000490456,0.000474977,0.000459987,0.00044547,0.000431411,0.000417796,0.00040461,0.000391841,0.000379475,0.000367498,0.0003559,0.000344668,0.000333791,0.000323256,0.000313054,0.000303174,0.000293606,0.00028434,0.000275367,0.000266676,0.00025826,0.000250109,0.000242216,0.000234572,0.000227169,0.000219999,0.000213056,0.000206332,0.00019982,0.000193514,0.000187407,0.000181492,0.000175764,0.000170217,0.000164845,0.000159643,0.000154605,0.000149725,0.000145,0.000140424,0.000135992,0.0001317,0.000127544,0.000123519,0.00011962,0.000115845,0.000112189,0.000108648,0.00010522,0.000101899,9.8683E-05,9.55685E-05,9.25524E-05,8.96315E-05,8.68028E-05,8.40633E-05,8.14103E-05,7.8841E-05,7.63528E-05,7.39431E-05,7.16095E-05,6.93495E-05,6.71609E-05,6.50413E-05,6.29886E-05,6.10007E-05,5.90755E-05,5.72111E-05,5.54056E-05,5.3657E-05,5.19636E-05,5.03236E-05,4.87354E-05,4.71973E-05,4.57078E-05,4.42653E-05,4.28683E-05,4.15154E-05,4.02052E-05,3.89363E-05,3.77075E-05,3.65174E-05,3.5365E-05,3.42488E-05,3.3168E-05,3.21212E-05,3.11075E-05,3.01257E-05,2.9175E-05,2.82542E-05,2.73625E-05,2.6499E-05,2.56627E-05,2.48527E-05,2.40684E-05,2.33088E-05,2.25732E-05,2.18608E-05,2.11709E-05,2.05027E-05,1.98557E-05,1.9229E-05,1.86222E-05
28,0.002250291,0.002179412,0.002110765,0.002044281,0.00197989,0.001917528,0.00185713,0.001798635,0.001741982,0.001687113,0.001633973,0.001582507,0.001532661,0.001484386,0.001437631,0.001392349,0.001348493,0.001306018,0.001264882,0.001225041,0.001186455,0.001149084,0.001112891,0.001077837,0.001043888,0.001011007,0.000979163,0.000948321,0.000918451,0.000889522,0.000861504,0.000834369,0.000808088,0.000782635,0.000757984,0.000734109,0.000710986,0.000688592,0.000666903,0.000645897,0.000625553,0.000605849,0.000586766,0.000568284,0.000550385,0.000533049,0.000516259,0.000499998,0.000484249,0.000468996,0.000454224,0.000439917,0.000426061,0.000412641,0.000399643,0.000387055,0.000374864,0.000363057,0.000351621,0.000340546,0.00032982,0.000319431,0.00030937,0.000299625,0.000290188,0.000281047,0.000272195,0.000263621,0.000255318,0.000247276,0.000239487,0.000231944,0.000224638,0.000217563,0.00021071,0.000204073,0.000197645,0.00019142,0.000185391,0.000179551,0.000173896,0.000168418,0.000163114,0.000157976,0.000153,0.000148181,0.000143513,0.000138993,0.000134615,0.000130375,0.000126269,0.000122291,0.000118439,0.000114709,0.000111096,0.000107597,0.000104207,0.000100925,9.77463E-05,9.46675E-05,9.16857E-05,8.87978E-05,8.60009E-05,8.3292E-05,8.06685E-05,7.81276E-05,7.56668E-05,7.32834E-05,7.09752E-05,6.87396E-05,6.65745E-05,6.44775E-05,6.24466E-05,6.04797E-05,5.85747E-05,5.67298E-05,5.49429E-05,5.32123E-05,5.15362E-05,4.9913E-05,4.83408E-05,4.68182E-05,4.53435E-05,4.39153E-05,4.25321E-05,4.11924E-05,3.98949E-05,3.86383E-05,3.74213E-05,3.62426E-05,3.51011E-05,3.39955E-05,3.29247E-05,3.18876E-05,3.08832E-05,2.99105E-05,2.89684E-05,2.80559E-05,2.71722E-05,2.63164E-05,2.54875E-05,2.46847E-05,2.39072E-05,2.31541E-05,2.24248E-05,2.17185E-05,2.10344E-05,2.03719E-05,1.97302E-05,1.91088E-05
29,0.002301999,0.002229722,0.002159714,0.002091905,0.002026224,0.001962606,0.001900985,0.001841298,0.001783486,0.001727489,0.00167325,0.001620714,0.001569828,0.001520539,0.001472798,0.001426556,0.001381765,0.001338381,0.00129636,0.001255657,0.001216233,0.001178046,0.001141058,0.001105232,0.00107053,0.001036918,0.001004361,0.000972827,0.000942283,0.000912697,0.000884041,0.000856284,0.000829399,0.000803358,0.000778134,0.000753703,0.000730038,0.000707117,0.000684915,0.000663411,0.000642581,0.000622406,0.000602864,0.000583935,0.000565601,0.000547843,0.000530642,0.000513981,0.000497843,0.000482212,0.000467072,0.000452407,0.000438203,0.000424444,0.000411118,0.000398209,0.000385707,0.000373596,0.000361866,0.000350505,0.0003395,0.00032884,0.000318516,0.000308515,0.000298828,0.000289446,0.000280358,0.000271555,0.000263029,0.000254771,0.000246772,0.000239024,0.000231519,0.00022425,0.000217209,0.000210389,0.000203783,0.000197385,0.000191188,0.000185185,0.00017937,0.000173739,0.000168284,0.000163,0.000157882,0.000152925,0.000148124,0.000143473,0.000138968,0.000134605,0.000130379,0.000126285,0.00012232,0.00011848,0.00011476,0.000111156,0.000107666,0.000104286,0.000101012,9.78401E-05,9.47681E-05,9.17926E-05,8.89106E-05,8.6119E-05,8.34151E-05,8.07961E-05,7.82593E-05,7.58021E-05,7.34221E-05,7.11168E-05,6.88839E-05,6.67212E-05,6.46263E-05,6.25972E-05,6.06318E-05,5.87281E-05,5.68842E-05,5.50982E-05,5.33682E-05,5.16926E-05,5.00696E-05,4.84975E-05,4.69748E-05,4.54999E-05,4.40713E-05,4.26876E-05,4.13473E-05,4.00491E-05,3.87917E-05,3.75737E-05,3.6394E-05,3.52513E-05,3.41445E-05,3.30724E-05,3.2034E-05,3.10283E-05,3.0054E-05,2.91104E-05,2.81964E-05,2.73111E-05,2.64536E-05,2.5623E-05,2.48185E-05,2.40393E-05,2.32845E-05,2.25535E-05,2.18453E-05,2.11594E-05,2.04951E-05,1.98516E-05
30,0.002364493,0.002290599,0.002219014,0.002149666,0.002082485,0.002017404,0.001954357,0.00189328,0.001834112,0.001776793,0.001721265,0.001667473,0.001615362,0.001564879,0.001515974,0.001468597,0.001422701,0.001378239,0.001335167,0.001293441,0.001253019,0.00121386,0.001175925,0.001139175,0.001103574,0.001069085,0.001035675,0.001003308,0.000971953,0.000941578,0.000912152,0.000883646,0.000856031,0.000829278,0.000803362,0.000778255,0.000753934,0.000730372,0.000707547,0.000685435,0.000664014,0.000643262,0.000623159,0.000603684,0.000584818,0.000566542,0.000548836,0.000531684,0.000515068,0.000498972,0.000483378,0.000468272,0.000453637,0.00043946,0.000425727,0.000412422,0.000399533,0.000387047,0.000374951,0.000363233,0.000351882,0.000340885,0.000330232,0.000319911,0.000309913,0.000300228,0.000290846,0.000281756,0.000272951,0.000264421,0.000256157,0.000248152,0.000240397,0.000232884,0.000225606,0.000218555,0.000211725,0.000205108,0.000198698,0.000192489,0.000186473,0.000180645,0.000175,0.000169531,0.000164233,0.0001591,0.000154128,0.000149311,0.000144645,0.000140125,0.000135746,0.000131503,0.000127394,0.000123412,0.000119556,0.000115819,0.0001122,0.000108693,0.000105296,0.000102006,9.88179E-05,9.57297E-05,9.2738E-05,8.98398E-05,8.70321E-05,8.43122E-05,8.16773E-05,7.91248E-05,7.6652E-05,7.42565E-05,7.19358E-05,6.96877E-05,6.75099E-05,6.54001E-05,6.33562E-05,6.13762E-05,5.94581E-05,5.76E-05,5.57999E-05,5.4056E-05,5.23667E-05,5.07301E-05,4.91447E-05,4.76089E-05,4.6121E-05,4.46797E-05,4.32834E-05,4.19307E-05,4.06203E-05,3.93508E-05,3.81211E-05,3.69297E-05,3.57756E-05,3.46575E-05,3.35744E-05,3.25252E-05,3.15087E-05,3.0524E-05,2.95701E-05,2.8646E-05,2.77507E-05,2.68835E-05,2.60433E-05,2.52294E-05,2.4441E-05,2.36772E-05,2.29372E-05,2.22204E-05,2.1526E-05,2.08532E-05
31,0.002417376,0.002342344,0.00226964,0.002199193,0.002130932,0.00206479,0.002000702,0.001938602,0.00187843,0.001820126,0.001763631,0.00170889,0.001655848,0.001604452,0.001554651,0.001506397,0.00145964,0.001414334,0.001370435,0.001327898,0.001286682,0.001246744,0.001208047,0.00117055,0.001134218,0.001099013,0.001064901,0.001031847,0.00099982,0.000968787,0.000938717,0.00090958,0.000881347,0.000853991,0.000827484,0.0008018,0.000776913,0.000752799,0.000729433,0.000706792,0.000684854,0.000663597,0.000642999,0.000623041,0.000603703,0.000584965,0.000566808,0.000549215,0.000532168,0.00051565,0.000499645,0.000484136,0.000469109,0.000454549,0.00044044,0.000426769,0.000413523,0.000400687,0.00038825,0.0003762,0.000364523,0.000353208,0.000342245,0.000331622,0.000321329,0.000311355,0.000301691,0.000292327,0.000283254,0.000274462,0.000265943,0.000257688,0.00024969,0.00024194,0.00023443,0.000227154,0.000220103,0.000213271,0.000206652,0.000200237,0.000194022,0.000188,0.000182165,0.00017651,0.000171032,0.000165723,0.000160579,0.000155595,0.000150766,0.000146086,0.000141552,0.000137158,0.000132901,0.000128776,0.000124779,0.000120906,0.000117153,0.000113517,0.000109993,0.000106579,0.000103271,0.000100066,9.69596E-05,9.39501E-05,9.1034E-05,8.82084E-05,8.54705E-05,8.28176E-05,8.0247E-05,7.77563E-05,7.53428E-05,7.30042E-05,7.07383E-05,6.85426E-05,6.64151E-05,6.43537E-05,6.23562E-05,6.04207E-05,5.85454E-05,5.67282E-05,5.49674E-05,5.32613E-05,5.16081E-05,5.00062E-05,4.84541E-05,4.69501E-05,4.54929E-05,4.40808E-05,4.27126E-05,4.13868E-05,4.01022E-05,3.88575E-05,3.76514E-05,3.64827E-05,3.53504E-05,3.42531E-05,3.31899E-05,3.21598E-05,3.11616E-05,3.01943E-05,2.92571E-05,2.8349E-05,2.74691E-05,2.66165E-05,2.57904E-05,2.49898E-05,2.42142E-05,2.34626E-05,2.27344E-05,2.20287E-05
32,0.002477214,0.002401095,0.002327315,0.002255802,0.002186487,0.002119301,0.00205418,0.00199106,0.00192988,0.001870579,0.001813101,0.001757388,0.001703388,0.001651047,0.001600314,0.00155114,0.001503477,0.001457279,0.0014125,0.001369098,0.001327028,0.001286252,0.001246728,0.001208419,0.001171288,0.001135297,0.001100412,0.001066599,0.001033825,0.001002058,0.000971267,0.000941422,0.000912494,0.000884456,0.000857278,0.000830936,0.000805404,0.000780655,0.000756668,0.000733417,0.000710881,0.000689037,0.000667865,0.000647343,0.000627452,0.000608171,0.000589484,0.00057137,0.000553813,0.000536796,0.000520302,0.000504314,0.000488818,0.000473797,0.000459239,0.000445127,0.00043145,0.000418192,0.000405342,0.000392887,0.000380815,0.000369113,0.000357771,0.000346778,0.000336122,0.000325794,0.000315783,0.00030608,0.000296674,0.000287558,0.000278722,0.000270158,0.000261857,0.00025381,0.000246011,0.000238452,0.000231125,0.000224023,0.000217139,0.000210467,0.000204,0.000197732,0.000191656,0.000185767,0.000180058,0.000174526,0.000169163,0.000163965,0.000158927,0.000154043,0.00014931,0.000144722,0.000140275,0.000135965,0.000131787,0.000127737,0.000123812,0.000120008,0.00011632,0.000112746,0.000109282,0.000105924,0.000102669,9.9514E-05,9.64562E-05,9.34923E-05,9.06195E-05,8.7835E-05,8.5136E-05,8.252E-05,7.99844E-05,7.75266E-05,7.51444E-05,7.28354E-05,7.05974E-05,6.84281E-05,6.63254E-05,6.42874E-05,6.2312E-05,6.03973E-05,5.85414E-05,5.67426E-05,5.4999E-05,5.33091E-05,5.1671E-05,5.00833E-05,4.85443E-05,4.70527E-05,4.56069E-05,4.42055E-05,4.28471E-05,4.15305E-05,4.02544E-05,3.90175E-05,3.78186E-05,3.66565E-05,3.55301E-05,3.44384E-05,3.33802E-05,3.23545E-05,3.13603E-05,3.03967E-05,2.94626E-05,2.85573E-05,2.76798E-05,2.68293E-05,2.60049E-05,2.52058E-05,2.44313E-05,2.36806E-05
33,0.00253205,0.002455363,0.002380999,0.002308886,0.002238958,0.002171148,0.002105392,0.002041627,0.001979793,0.001919832,0.001861687,0.001805303,0.001750627,0.001697607,0.001646192,0.001596335,0.001547987,0.001501104,0.001455641,0.001411555,0.001368804,0.001327348,0.001287147,0.001248164,0.001210361,0.001173704,0.001138156,0.001103686,0.001070259,0.001037845,0.001006412,0.000975931,0.000946374,0.000917711,0.000889917,0.000862965,0.000836829,0.000811484,0.000786907,0.000763074,0.000739963,0.000717553,0.00069582,0.000674746,0.000654311,0.000634494,0.000615277,0.000596643,0.000578573,0.00056105,0.000544057,0.00052758,0.000511601,0.000496107,0.000481081,0.000466511,0.000452382,0.000438681,0.000425395,0.000412511,0.000400018,0.000387903,0.000376154,0.000364762,0.000353715,0.000343002,0.000332614,0.00032254,0.000312771,0.000303299,0.000294113,0.000285205,0.000276567,0.000268191,0.000260068,0.000252192,0.000244554,0.000237147,0.000229965,0.000223,0.000216246,0.000209697,0.000203346,0.000197187,0.000191215,0.000185424,0.000179808,0.000174362,0.000169081,0.000163961,0.000158995,0.000154179,0.00014951,0.000144982,0.000140591,0.000136333,0.000132204,0.0001282,0.000124317,0.000120552,0.000116901,0.00011336,0.000109927,0.000106598,0.000103369,0.000100239,9.72026E-05,9.42587E-05,9.14039E-05,8.86356E-05,8.59512E-05,8.3348E-05,8.08237E-05,7.83758E-05,7.60021E-05,7.37003E-05,7.14682E-05,6.93036E-05,6.72047E-05,6.51693E-05,6.31955E-05,6.12816E-05,5.94256E-05,5.76258E-05,5.58805E-05,5.41881E-05,5.25469E-05,5.09554E-05,4.94122E-05,4.79157E-05,4.64645E-05,4.50572E-05,4.36926E-05,4.23693E-05,4.10861E-05,3.98417E-05,3.86351E-05,3.74649E-05,3.63303E-05,3.52299E-05,3.4163E-05,3.31283E-05,3.21249E-05,3.1152E-05,3.02085E-05,2.92936E-05,2.84064E-05,2.75461E-05,2.67118E-05,2.59028E-05
34,0.002583359,0.00250664,0.002432198,0.002359967,0.002289882,0.002221878,0.002155893,0.002091868,0.002029744,0.001969465,0.001910977,0.001854225,0.001799159,0.001745728,0.001693884,0.001643579,0.001594769,0.001547408,0.001501453,0.001456864,0.001413598,0.001371617,0.001330884,0.001291359,0.001253009,0.001215797,0.001179691,0.001144657,0.001110663,0.001077679,0.001045674,0.00101462,0.000984488,0.000955251,0.000926883,0.000899356,0.000872647,0.000846732,0.000821586,0.000797187,0.000773512,0.00075054,0.000728251,0.000706624,0.000685639,0.000665277,0.000645519,0.000626349,0.000607748,0.000589699,0.000572186,0.000555194,0.000538706,0.000522708,0.000507184,0.000492122,0.000477507,0.000463326,0.000449567,0.000436215,0.000423261,0.000410691,0.000398494,0.00038666,0.000375177,0.000364035,0.000353224,0.000342734,0.000332556,0.00032268,0.000313097,0.000303799,0.000294776,0.000286022,0.000277528,0.000269286,0.000261289,0.000253529,0.000246,0.000238694,0.000231606,0.000224728,0.000218054,0.000211578,0.000205295,0.000199198,0.000193282,0.000187542,0.000181972,0.000176568,0.000171325,0.000166237,0.0001613,0.00015651,0.000151862,0.000147352,0.000142976,0.00013873,0.00013461,0.000130612,0.000126733,0.000122969,0.000119318,0.000115774,0.000112336,0.000109,0.000105763,0.000102622,9.95742E-05,9.66171E-05,9.37478E-05,9.09637E-05,8.82622E-05,8.56411E-05,8.30977E-05,8.06299E-05,7.82354E-05,7.5912E-05,7.36576E-05,7.14701E-05,6.93476E-05,6.72881E-05,6.52898E-05,6.33509E-05,6.14695E-05,5.9644E-05,5.78727E-05,5.6154E-05,5.44864E-05,5.28682E-05,5.12982E-05,4.97747E-05,4.82965E-05,4.68622E-05,4.54705E-05,4.41202E-05,4.28099E-05,4.15385E-05,4.0305E-05,3.9108E-05,3.79466E-05,3.68196E-05,3.57262E-05,3.46652E-05,3.36357E-05,3.26368E-05,3.16676E-05,3.07271E-05,2.98146E-05,2.89292E-05
35,0.002625077,0.002549036,0.002475199,0.0024035,0.002333878,0.002266273,0.002200626,0.002136881,0.002074982,0.002014876,0.001956511,0.001899837,0.001844805,0.001791367,0.001739476,0.001689089,0.001640161,0.001592651,0.001546517,0.001501719,0.001458219,0.001415979,0.001374962,0.001335134,0.001296459,0.001258905,0.001222438,0.001187028,0.001152643,0.001119255,0.001086834,0.001055351,0.001024781,0.000995096,0.000966272,0.000938282,0.000911103,0.000884711,0.000859083,0.000834198,0.000810034,0.00078657,0.000763786,0.000741661,0.000720177,0.000699316,0.000679059,0.000659389,0.000640288,0.000621741,0.000603731,0.000586243,0.000569261,0.000552772,0.00053676,0.000521211,0.000506114,0.000491453,0.000477217,0.000463394,0.000449971,0.000436936,0.00042428,0.00041199,0.000400055,0.000388467,0.000377214,0.000366288,0.000355677,0.000345375,0.00033537,0.000325656,0.000316222,0.000307062,0.000298168,0.000289531,0.000281144,0.000273,0.000265092,0.000257413,0.000249957,0.000242716,0.000235685,0.000228858,0.000222229,0.000215792,0.000209541,0.000203471,0.000197577,0.000191854,0.000186297,0.0001809,0.00017566,0.000170572,0.000165631,0.000160833,0.000156174,0.00015165,0.000147257,0.000142992,0.00013885,0.000134828,0.000130922,0.00012713,0.000123447,0.000119871,0.000116399,0.000113027,0.000109753,0.000106574,0.000103487,0.000100489,9.75784E-05,9.47519E-05,9.20072E-05,8.93421E-05,8.67541E-05,8.42411E-05,8.18009E-05,7.94314E-05,7.71305E-05,7.48963E-05,7.27268E-05,7.06201E-05,6.85744E-05,6.6588E-05,6.46592E-05,6.27862E-05,6.09675E-05,5.92015E-05,5.74866E-05,5.58214E-05,5.42044E-05,5.26343E-05,5.11096E-05,4.96291E-05,4.81915E-05,4.67956E-05,4.544E-05,4.41238E-05,4.28457E-05,4.16046E-05,4.03994E-05,3.92292E-05,3.80928E-05,3.69894E-05,3.59179E-05,3.48775E-05,3.38672E-05,3.28862E-05
36,0.002657542,0.002582799,0.002510157,0.002439559,0.002370947,0.002304264,0.002239457,0.002176472,0.002115259,0.002055768,0.001997949,0.001941757,0.001887145,0.00183407,0.001782487,0.001732354,0.001683632,0.00163628,0.00159026,0.001545534,0.001502066,0.00145982,0.001418763,0.00137886,0.00134008,0.00130239,0.001265761,0.001230161,0.001195563,0.001161938,0.001129258,0.001097498,0.001066631,0.001036632,0.001007477,0.000979142,0.000951603,0.00092484,0.000898829,0.000873549,0.000848981,0.000825103,0.000801897,0.000779344,0.000757425,0.000736122,0.000715419,0.000695298,0.000675743,0.000656737,0.000638267,0.000620315,0.000602869,0.000585913,0.000569435,0.000553419,0.000537854,0.000522727,0.000508026,0.000493737,0.000479851,0.000466355,0.000453239,0.000440492,0.000428103,0.000416063,0.000404361,0.000392988,0.000381936,0.000371194,0.000360754,0.000350608,0.000340747,0.000331163,0.000321849,0.000312797,0.000304,0.00029545,0.000287141,0.000279065,0.000271216,0.000263588,0.000256175,0.00024897,0.000241968,0.000235162,0.000228548,0.00022212,0.000215873,0.000209802,0.000203901,0.000198166,0.000192593,0.000187176,0.000181912,0.000176796,0.000171823,0.000166991,0.000162294,0.00015773,0.000153294,0.000148982,0.000144792,0.00014072,0.000136762,0.000132916,0.000129177,0.000125544,0.000122013,0.000118582,0.000115247,0.000112005,0.000108855,0.000105794,0.000102818,9.99265E-05,9.71161E-05,9.43847E-05,9.17301E-05,8.91502E-05,8.66429E-05,8.42061E-05,8.18378E-05,7.95361E-05,7.72992E-05,7.51251E-05,7.30122E-05,7.09588E-05,6.89631E-05,6.70235E-05,6.51384E-05,6.33064E-05,6.15259E-05,5.97955E-05,5.81138E-05,5.64793E-05,5.48909E-05,5.33471E-05,5.18467E-05,5.03885E-05,4.89713E-05,4.7594E-05,4.62554E-05,4.49545E-05,4.36902E-05,4.24614E-05,4.12671E-05,4.01065E-05,3.89785E-05,3.78822E-05
37,0.002694292,0.002620948,0.002549601,0.002480196,0.00241268,0.002347003,0.002283113,0.002220962,0.002160503,0.00210169,0.002044478,0.001988824,0.001934684,0.001882019,0.001830786,0.001780949,0.001732468,0.001685307,0.00163943,0.001594802,0.001551388,0.001509156,0.001468074,0.00142811,0.001389235,0.001351417,0.001314629,0.001278842,0.00124403,0.001210165,0.001177222,0.001145176,0.001114002,0.001083677,0.001054177,0.00102548,0.000997565,0.000970409,0.000943993,0.000918295,0.000893298,0.000868981,0.000845325,0.000822314,0.000799929,0.000778153,0.000756971,0.000736364,0.000716319,0.00069682,0.000677851,0.000659398,0.000641448,0.000623987,0.000607001,0.000590477,0.000574403,0.000558767,0.000543556,0.00052876,0.000514366,0.000500364,0.000486743,0.000473493,0.000460603,0.000448065,0.000435868,0.000424003,0.000412461,0.000401233,0.00039031,0.000379685,0.00036935,0.000359295,0.000349514,0.00034,0.000330745,0.000321741,0.000312983,0.000304463,0.000296175,0.000288112,0.000280269,0.00027264,0.000265218,0.000257998,0.000250975,0.000244143,0.000237497,0.000231032,0.000224743,0.000218625,0.000212673,0.000206884,0.000201252,0.000195774,0.000190445,0.00018526,0.000180217,0.000175311,0.000170539,0.000165897,0.000161381,0.000156987,0.000152714,0.000148557,0.000144513,0.000140579,0.000136752,0.000133029,0.000129408,0.000125885,0.000122459,0.000119125,0.000115882,0.000112728,0.000109659,0.000106674,0.00010377,0.000100945,9.81973E-05,9.55242E-05,9.29238E-05,9.03943E-05,8.79336E-05,8.55398E-05,8.32113E-05,8.09461E-05,7.87426E-05,7.65991E-05,7.45139E-05,7.24855E-05,7.05123E-05,6.85928E-05,6.67256E-05,6.49092E-05,6.31423E-05,6.14234E-05,5.97514E-05,5.81248E-05,5.65425E-05,5.50033E-05,5.3506E-05,5.20495E-05,5.06326E-05,4.92543E-05,4.79135E-05,4.66092E-05,4.53404E-05,4.41062E-05
38,0.002734067,0.002662121,0.002592067,0.002523858,0.002457443,0.002392776,0.00232981,0.002268502,0.002208807,0.002150682,0.002094088,0.002038982,0.001985327,0.001933083,0.001882215,0.001832685,0.001784458,0.0017375,0.001691778,0.00164726,0.001603912,0.001561706,0.00152061,0.001480595,0.001441634,0.001403697,0.001366759,0.001330793,0.001295774,0.001261676,0.001228475,0.001196148,0.001164672,0.001134024,0.001104182,0.001075126,0.001046834,0.001019287,0.000992464,0.000966348,0.000940919,0.000916159,0.00089205,0.000868576,0.00084572,0.000823465,0.000801795,0.000780696,0.000760152,0.000740149,0.000720672,0.000701708,0.000683243,0.000665263,0.000647757,0.000630711,0.000614114,0.000597954,0.000582219,0.000566898,0.00055198,0.000537455,0.000523312,0.000509541,0.000496133,0.000483077,0.000470365,0.000457987,0.000445936,0.000434201,0.000422775,0.00041165,0.000400817,0.00039027,0.00038,0.00037,0.000360264,0.000350784,0.000341553,0.000332565,0.000323814,0.000315292,0.000306996,0.000298917,0.000291051,0.000283392,0.000275935,0.000268674,0.000261604,0.00025472,0.000248017,0.00024149,0.000235135,0.000228948,0.000222923,0.000217057,0.000211345,0.000205784,0.000200368,0.000195096,0.000189962,0.000184963,0.000180096,0.000175357,0.000170742,0.000166249,0.000161874,0.000157615,0.000153467,0.000149429,0.000145496,0.000141668,0.00013794,0.00013431,0.000130776,0.000127334,0.000123983,0.000120721,0.000117544,0.000114451,0.000111439,0.000108507,0.000105651,0.000102871,0.000100164,9.75283E-05,9.49619E-05,9.2463E-05,9.00299E-05,8.76607E-05,8.5354E-05,8.31079E-05,8.09209E-05,7.87915E-05,7.67181E-05,7.46993E-05,7.27336E-05,7.08196E-05,6.8956E-05,6.71415E-05,6.53747E-05,6.36543E-05,6.19793E-05,6.03483E-05,5.87603E-05,5.7214E-05,5.57084E-05,5.42425E-05,5.28151E-05,5.14253E-05
